post_id,data,post
771528,1662034393,"Ярославль. Линейку пропустили. Все хорошо, полынь пока не уловили. Даже на пыль в поезде не прореагировала (чехлы на постельное не стали одевать). Загадочная эта аллергия..."
771528,1662036300,"Рязань, сын пошел в 1 класс, пока ждали всех у школы, холодовая аллергия вышла. Все лицо крапивницей покрылось, вошли в помещение и все ушло. Боялась аромата цветов и духов. Своему купила букет из эустомы, прочитала что он идеален для аллергика. Полет нормальный. Вообще мне кажется реагируем на все в этом году. Береза, злаковые, кладоспориум и альтернария, продукты по перекрёсту стараюсь не давать."
771528,1662038593,Краснодар. Красные глаза ((
771528,1662050939,"Краснодар. всё норм. Чувствую, что аллергия ушла. Дракон мой улетел до след года."
771528,1662051324,"Рязань, намного легче, с холодом пришло почти облегчение. Но не на 100 процентов."
771528,1662054663,"Алушта. Плохо. Температура, бронхит, еле ноги волоку"
771528,1662059968,"Вернулись из 5 мес  отсидки в турецкой Алании в Москву. Неделя кошмара 🙄. Чешется, кашляет. В Москве уже вообще жить нельзя стало. Улицы чистые, а воздух грязный!!! Сама кашляю уже, хоть и не аллергик ни разу😒"
771528,1662062635,"Краснодар. Накрыло хуже некуда. Никакие таблетки ни аллегра, ни монтрал мл, ни називин в нос, ни визин в глаза не помогают. Дыхание только ртом,слезы и сопли, сплошное мучение. Будь проклят этот город! Раньше спасением было уехать на август-октябрь к сыну в швейцарию, теперь подыхай на родине!"
771528,1662089896,Краснодар. Дочь сидит на ингаляциях. Свистела только раз. Глаза и нос заправляем. Надеемся на понижение температуры и дожди.
771528,1662101500,Ростов. Амброзия в пике. На антигистаминных.
771398,1661927167,"Чудо фотки!!
Рязанская область, дым от пожаров дошел и до нас."
771398,1661929621,"Доброе утро! Саратов. Несколько дней было спокойно, легкие реакции, даже незнаю с чем связать) сегодня после вчерашней прогулки, у сына, частое чихание и насморк.Амброзия же должна во всю пылить? Реакция меньше чем до этого во власти полыни."
771398,1661937914,"Ушла жара и полынь стала зелёный уровень, так бы с середины августа )"
771398,1661950700,"Магнитогорск.  Очень сильно течет из носа и чихание,заложенность сильная"
771398,1661970675,"Людей здесь все меньше и меньше.Пик был на березу,как я поняла...А у меня ухудшение почему то...правда дождей у нпс в Казахстане нет.От слова совсем...😕"
771398,1661972303,"Спб, самочувствие отличное)"
771398,1661999087,"Москва,иммунка дала сбой на глаз вылез чирий, возможно из за аллергического ринита"
771398,1662010314,"Новополоцк, симптомы на полынь пропали. ГКС и барьерные уже не нужны."
771398,1662067199,"Кашира, Подмосковье. Неделю ужасный нос, чешутся слизистые, чих. Когда ж это закончится("
771345,1661846953,Полынь 😭 в Москве ветер и понёс её с новой силой. Без респиратора не выйти: горло и нос жжёт и чихание.
771345,1661851327,"Краснодар, Сочи, Адлер  как вы?"
771345,1661851749,МО. Тяжело дышать.
771345,1661855447,"Алушта. Плохо, от жары амброзия пылит, наверное, сильнее. Состояние, как гриппозное - голова тяжёлая, слабость, горло дерёт, в бронхах воспаление, чихаю. Могу только лежать..."
771345,1661858718,"Татарстан Набережные челны.  Ночью ребёнку заложило нос. Брызнула алергодил. Сегодня ветрено, окна открыты.  Чихает . Сейчас приняла АГ."
771345,1661870615,Нижегородская область. Заложен нос…
771345,1661962840,"Злаки Пенза 🥲, чих и слезоточивость"
771345,1662043941,"Краснодар, вчера/сегодня жара, видимо пылит во всю, состояние не очень("
771345,1662395102,"Оренбург!Похолодание и ветер разносит пыльцу полыни и амброзии,глаза красные,режут и немного слезятся.Жду середины месяца,должно полегчать."
771154,1661752835,"Казань, полынь. Нет реакций 👍"
771154,1661753593,"Западный Крым, амброзия в цвету.."
771154,1661754172,Московская область. Горят леса. Все в дыму. Только вернулись с Сочи. Там все было прекрасно
771154,1661756706,Спб. Полынь. Всё нормально.
771154,1661756881,спб. всё ок (обычно на березу)
771154,1661757165,"Москва. Гарь всю ночь. Из-за нее насморк. Были за городом в выхи, все было отлично"
771154,1661757541,"Ярославль. Выходные на даче, пришлось принять всю «базу» (а/г, опатанол, назонекс), дочь реагирует на берёзу и видимо умеренно на полынь. Я только а/г однократным обошлась (сорные)."
771154,1661766023,Истринский район. Сегодня с утра чихаю . Дочь в Москве с ночи тоже чихает.
771154,1661768873,Белгородская обл. Нормально
771154,1661778711,Москва: ветер и от этого хуже с полынью: полетела... зато смог слегка развело.
771154,1661778837,"Москва. Легче не становится. Нос не дышит, горло першит и отечное. На моей памяти такого конца августа в Москве для меня ещё не было.😔"
771154,1661787271,"Краснодар , после дождя отлично . В машине с открытыми окнами 🎉"
771154,1661787648,"Краснодар. Ночью вернулись из Питера (там все было хорошо, обходились без лекарств). Ребенок аллергик на амброзию, полынь, золотарник. Сегодня в Краснодаре просто трэш, весь комплекс симптомов, даже тех, что раньше не было, нос течёт сильно, красный опухший глаз. Ничего не помогает: эриус, опатанол и монтелукаст всё мимо. Ребенок дома при закрытых окнах. Вообще непонятно чем ему можно помочь"
771154,1661789279,Татарстан Набережные Челны.  Дочь без препаратов.  Гуляла.
771154,1661798443,"Чебоксрары, полынь отступает, ура."
771154,1661800217,"Спб, не чувствую полынь, реакции нет."
771154,1661836023,"Москва, чих утренний, лоратадин🤷‍♂️"
771154,1661841971,Пока из симптомов только удушье Москва 🥲
771154,1662356870,"Новгородская обл . У ребёнка с субботы резко отёк носа ,чихи и першит в горле .(полинозник :берёза ,травы ,хвоя )."
771020,1661666652,"Нормально. Краснодар. 25-го числа я умирала, высморкала целую упаковку столовых салфеток (100 штук). Сейчас не ощущаю запахи, сопли стоят где-то далеко, не могу их извлечь."
771020,1661666731,"Вот такой выглядит нос после высмаркивания. От нагрузки и от того, что трешь. 

А по самочувствию - всё норм. Ничего не пью, не Капаю, не пшыкаю. Просто интоксикация организма."
771020,1661668332,"МО еле дышу, видимо дым дошел."
771020,1661669047,"Калиниград, зуд появился носа, глаз, лица.."
771020,1661671576,"Москва. Глаза зудят, нос не дышит. Ночью кашель. От гари еще хуже становится."
771020,1661678326,Краснодарский край
771020,1661678349,"Нос не дышит, глаза опухли"
771020,1661679743,"Москва, зуд в носу, закладывает"
771020,1661686348,"Алушта. Амброзия. Симптомов почти нет, но общее состояние ужас - голова, слабость, температура 35,8. Дышать тяжеловато из-за воспаления в бронхах"
771020,1661690319,"Москва,  сын 4,5 года. Аллергия на березу. Сегодня нос заложен, глаза слезятся. 
Пора идти к аллергологу- узнавать на что."
771020,1661692789,"Тольятти, уже практически все хорошо, про зуд забыла почти, небольшая заложенность носа и только. На амброзию реакции нет. Головная боль, но кажется, что это от жары."
771020,1661700342,"Татарстан Набережные Челны.  Дочь без препаратов. Гулять не ходила, но окна весь день открыты."
771020,1661708466,"Белгородская обл. Амброзия набирает обороты, уже почти вся попадающаяся на глаза запылила.
Дочь с утра повела собаку гулять в амброзию... Почихала несколько раз. В целом неплохо"
771020,1661710895,"Спб, у меня все отлично, у ребенка небольшая реакция на улице (у меня полынь+, у него полынь-🤷‍♀"
771020,1661718301,Вот на эти красивые подсолнухи у меня реакция.
771020,1661719509,"Я вообще не знаю, на что реагирую. Заложен нос, чешется горло, а глаза, как угля кинули. Я не аллергик. Младший сын с заложенным носом, старший с красными глазами. Оба березовики."
770920,1661580855,"Интересно, где находится эта красота?"
770920,1661583011,"Алушта. Амброзия. Сегодня ощутимо легче. С чем связано непонятно. Общее состояние только не очень - слабость, голова"
770920,1661587795,"Москва, в целом неплохо в последние 2 недели, поллиноз впервые в этом году (после 2 ковидов подряд). Береза, луговые травы"
770920,1661591785,Татарстан Набережные Челны.  Сегодня с утра у дочки был заложен нос.
770920,1661592566,"После темного винограда вспухло горло и болит, так же было в прошлом году!((("
770920,1661596331,Как чувствуют себя аллергики в СПБ? Аллергия на полынь
770920,1661598415,"Подскажите, когда на югах амброзия перестаёт пылить?"
770920,1661600962,"У меня ковид с кошмарным поллинозом (амброзия) 🤧 наверное в этот раз я помру. Я сильно боялась, чтоб он не совпал с периодом амброзии и вот вам. Ставрополь"
770920,1661604149,Москва. Вроде норм
770920,1661606768,"Краснодар. К поллинозу добавился вирус🙈Самочувствие хуже некуда, температура."
770920,1661608619,"Севастополь. Аллергия на амброзию, в этом году позже началась реакция. Средняя"
770920,1661616133,"Москва,ночью ощущаю аллергию,днем лучше.Лоратадин принимаю."
770920,1661620293,"Москва, весь день гипоксия. Сплю. Дышать нечем. Хотя аллергия менее выражена, чем обычно: сыпь и горло дерёт."
